School Code,School Name,Address,City,State Code,Zip Code,Province,Country,Postal Code
042744,PMCA PITTSBURGH MULTICULTURAL COSMETOLOG,415 SMITHFIELD STREET,PITTSBURGH,PA,15222,,,
043165,ACTIVA TRAINING CENTER,9580 BIRD ROAD SUITE D FL 2,MIAMI,FL,33165,,,
042863,XTYLO BEAUTY COLLEGE,2828 NORTH 36TH STREET,PHOENIX,AZ,85008,,,
043166,CARE HOPE COLLEGE,10094 W INDIANTOWN ROAD,JUPITER,FL,33478,,,
043071,IM BEAUTY SCHOOL,630 MILWAUKEE AVENUE,GLENVIEW,IL,60025,,,
042622,ELYON COLLEGE,1400 WEST 6TH STREET,BROOKLYN,NY,11204,,,
042743,CARIS COLLEGE,2780 JEFFERSON CENTRE WAY,JEFFERSONVILLE,IN,47130,,,
043070,BEAUTY CULTURE ACADEMY,233 STOBE AVENUE,STATEN ISLAND,NY,10306,,,
042677,ESTHETIC INSTITUTE (THE),8381 OLD COURTHOUSE ROAD,VIENN/A,VA,22182,,,
043167,NOE' NOONAN SCHOOL OF COSMETOLOGY,5739 WEST RIDGE ROAD,ERIE,PA,16506,,,
043068,SHEARZ INSTITUTE,560 THORNTON ROAD,LITHIA SPRINGS,GA,30122,,,
042865,TONSORIAL ARTS BARBER COLLEGE,2831 NEW BOSTON ROAD,TEXARKAN/A,TX,75501,,,
042742,INSTALLER INSTITUTE,1524 RIDGEWOOD AVENUE,HOLLY HILL,FL,32164,,,
042870,ALDER GRADUATE SCHOOL OF EDUCATION,2946 BROADWAY STREET,REDWOOD CITY,CA,94062,,,
042741,ARKANSAS WELDING ACADEMY,1920 NORTH REDMOND ROAD,JACKSONVILLE,AR,72076,,,
042871,WEBB'S BARBER SCHOOL OF ARTS,4356 MERCER UNIV DRIVE,MACON,GA,31206,,,
043168,MERCAZ HATORAH OF BELLE HARBOR,505 BEACH 129 STREET,BELLE HARBOR,NY,11694,,,
042872,EVVAYLOIS ACADEMY SCHOOL OF BEAUTY,2244 SOUTH MARKET STREET,BRENHAM,TX,77833,,,
043169,SALON PROFESSIONAL ACADEMY (THE),10264 COLDWATER ROAD,FORT WAYNE,IN,46825,,,
043170,PRINCE'S BARBER ACADEMY,330 MAIN ST,ZANESVILLE,OH,43701,,,
043171,CHICAGO COLLEGE OF ORIENTAL MEDICINE,"180 N MICHIGAN AVENUE, SUITE 1919",CHICAGO,IL,60601,,,
042740,SOUTHEASTERN FREE WILL BAPTIST BIBLE COL,532 EAGLE ROCK ROAD,WENDELL,NC,27591,,,
E40957,WEBSTER UNIVERSITY - TASHKENT AT UZBEKIS,21 KICHIK HALQA YO'IL STR.,TASHKENT,,0,,UZBEKISTAN,100138
042873,MICHAEL'S BARBER & HAIR STYLIST ACADEMY,2413 WEST AIRPORT FREEWAY,IRVING,TX,75062,,,
042739,SOUTHEASTERN HEALTH & WELLNESS INSTITUTE,501 SPEARS CREEK CHURCH ROAD,ELGIN,SC,29045,,,
042738,YESHIVA GEDOLA TIFERES YERACHMIEL,911 SOMERSET AVENUE,LAKEWOOD,NJ,8701,,,
E40782,LESLEY UNIVERSITY - GALVIN MIDDLE SCHOOL,525 MAIN STREET,WAKEFIELD,MA,1880,,,
042874,ADRIAN H. WALLACE BARBER ACADEMY (THE),3822 NORTH 9TH AVENUE,PENSACOLA,FL,32503,,,
042876,YESHIVA YESODA HATORAH VETZ CHAIM,5520 GLENWOOD RD,BROOKLYN,NY,11234,,,
042877,AGUILAS INTERNATIONAL TECHNICAL INSTITUT,7520 WEST WATERS AVENUE,TAMPA,FL,33615,,,
042736,BELLASA PROFESSIONAL INSTITUTE,744 NE 125TH STREET,NORTH MIAMI,FL,33161,,,
042735,WINONAH'S INTERNATIONAL SCHOOL OF COSMET,1870 CHACE DRIVE,HOOVER,AL,35244,,,
042878,ST. LOUIS MED TECH,59 GRASSO PLAZA,ST. LOUIS,MO,63123,,,
042734,SAN FRANCISCO SCHOOL OF MASSAGE & BODYWO,475 VALENCIA STREET,SAN FRANCISCO,CA,94103,,,
E40784,LESLEY UNIVERSITY - ITA NEW BEDFORD,DEMELLO INTERN/ATION/AL CENTER,NEW BEDFORD,MA,2740,,,
043064,LARKIN UNIVERSITY,18301 NORTH MIAMI AVENUE,MIAMI,FL,33169,,,
042733,VICTORY CAREER COLLEGE,455 EAST CARSON PLAZA DRIVE,CARSON,CA,90746,,,
043063,YESHIVAS SANZ KLAUZENBURG,1420 50TH STREET,BROOKLYN,NY,11219,,,
042880,RAPHA SCHOOL (THE),17 GRIFFITH DRIVE,HOME,PA,15747,,,
042732,BERKOWITS SCHOOL OF ELECTROLYSIS,107-25 METROPOLITAN AVENUE,FOREST HILLS,NY,11375,,,
042881,TOTAL BEAUTY INSTITUTE,5308 NORTH PEARL STREET,JACKSONVILLE,FL,32218,,,
042701,DELTA DESIGNS COSMETOLOGY SCHOOL,671 ADDISON DRIVE,WYNNE,AR,72396,,,
042889,PEARLANDS INNOVATIVE SCHOOL OF BEAUTY,9330 BROADWAY STREET,PEARLAND,TX,77584,,,
042728,INDEPENDENT TRAINING & APPRENTICESHIP PR,9856 BUSINESS PARK DRIVE,SACRAMENTO,CA,95827,,,
043062,ALBANY BEAUTY ACADEMY,"2231 DAWSON ROAD, SUITES I & J",ALBANY,GA,31707,,,
042726,VOGUE INTERNATIONAL ACADEMY,16233 CLAY ROAD,HOUSTON,TX,77084,,,
042896,DURANT INSTITUTE OF HAIR DESIGN,2836 WEST UNIVERSITY BOULEVARD,DURANT,OK,74701,,,
043002,IDEAL INSTITUTE OF TECHNOLOGY,4403 EAST BLACK HORSE PIKE,MAYS LANDING,NJ,8330,,,
042898,MERYMA'AT BARBER COLLEGE,12825-27 LORAIN AVENUE,CLEVELAND,OH,44111,,,
E40777,NORTHERN TECHNICAL COLLEGE - HOT SPRINGS,103 BRENDA STREET,HOT SPRINGS,AR,71923,,,
042902,SRI SAI KRISH INSTITUTE,12362 BEACH BOULEVARD,STANTON,CA,90680,,,
042724,NORTHERN TECHNICAL COLLEGE,2215 EAST HARDING,PINE BLUFF,AR,71601,,,
042612,YESHIVA BAIS AHARON,905 PARK AVENUE,LAKEWOOD,NJ,8701,,,
042721,PRINCESS INSTITUTE OF BEAUTY,1605 EAST MANNING AVENUE,REEDLEY,CA,93654,,,
042718,RED LAKE NATION COLLEGE,15480 MIGIZI DRIVE,RED LAKE,MN,56671,,,
042998,ALL IN THE WRIST BARBER ACADEMY,202 NORTH DUPONT BOULEVARD,SMYRN/A,DE,19977,,,
042903,ATLANTIC ACTING SCHOOL,"76 9TH AVENUE, SUITE 313",NEW YORK,NY,10011,,,
042905,PAUL MITCHELL THE SCHOOL SAN JOSE,2200 EASTRIDGE LOOP,SAN JOSE,CA,95122,,,
042997,UPPER KUTZ BARBER & STYLE COLLEGE,813 HIGHWAY 1 SOUTH,GREENVILLE,MS,38701,,,
E00797,FEDERAL STUDENT AID USE ONLY,"830 FIRST STREET, N.E.",WASHINGTON,DC,20202,,,
042717,SALON PROFESSIONAL ACADEMY OF SAN ANTONI,16640 SAN PEDRO AVENUE,SAN ANTONIO,TX,78232,,,
042716,"AVENUE ACADEMY, A COSMETOLOGY INSTITUTE",1512 EUBANK BOULEVARD,ALBUQUERQUE,NM,87112,,,
042714,CENTRAL PENNSYLVANIA DIESEL INSTITUTE,1718 OLD TRAIL ROAD,LIVERPOOL,PA,17045,,,
042712,SEMINARY BNOS CHAIM,140 LEHIGH AVENUE,LAKEWOOD,NJ,8701,,,
042907,PREMIERE AESTHETICS INSTITUTE,1133 NORTHWEST WALL STREET,BEND,OR,97703,,,
042996,BEAVER BEAUTY ACADEMY,1999 CANDLER ROAD,DECATUR,GA,30032,,,
G42711,MERIDIAN UNIVERSITY,47 SIXTH STREET,PETALUMA,CA,94952,,,
042995,BRIDGES CHRISTIAN COLLEGE,2524 N/APOLEON AVENUE,NEW ORLEANS,LA,70115,,,
G42908,CALIFORNIA UNIVERSITY OF SCIENCE AND MED,217 EAST CLUB CENTER DRIVE,SAN BERN/ARDINO,CA,92408,,,
E41327,ASEL BEAUTY COLLEGE - TUSTIN,540 EL CAMINO REAL,TUSTIN,CA,92780,,,
042710,STACEY JAMES INSTITUTE,"16534 KEYSTONE BOULEVARD, UNIT C",PARKER,CO,80134,,,
042709,D&S SCHOOL OF COSMETOLOGY,4180 ELIZABETH LAKE ROAD,WATERFORD,MI,48328,,,
E41374,AMERICAN CAREER COLLEGE -  RICHARDSON,2323 NORTH EXPRESS WAY,RICHARDSON,TX,75080,,,
043059,ONE STOP ACADEMY,2653 HOPE MILLS ROAD,FAYETTEVILLE,NC,28306,,,
043056,JAMA'S BEAUTY & BARBER COLLEGE,8300 VALLEY CIRCLE BOULEVARD,WEST HILLS,CA,91304,,,
042708,SUNCOAST TECHNICAL EDUCATION CENTER,4057 CALIFORNIA STREET,BROOKSVILLE,FL,34604,,,
042910,BELL TECH CAREER INSTITUTE,12000 RICHMOND AVENUE,HOUSTON,TX,77082,,,
043055,CENTRAL VALLEY BARBER COLLEGE,3501 ATCHISON STREET,RIVERBANK,CA,95367,,,
042704,TRANSITIONS CAREER INSTITUTE SCHOOL OF N,30-50 WHITESTONE EXPRESSWAY,FLUSHING,NY,11354,,,
043051,DYMOND DESIGNS BEAUTY SCHOOL,3300 EAST JEFFERSON SUITE 450,DETROIT,MI,48207,,,
042911,COMMERCIAL DIVERS INTERNATIONAL,4055 SOUTH SARIVAL AVENUE,GOODYEAR,AZ,85338,,,
043049,RENAISSANCE BEAUTY ACADEMY,268 SOUTH MOUNT AUBURN ROAD,CAPE GIRARDEAU,MO,63703,,,
043048,JAZZ BARBER AND HAIRSTYLING ACADEMY,1024 EAST WASHINGTON STREET,PETERSBURG,VA,23803,,,
042703,YESHIVAS EMEK HATORAH,395 KENT ROAD,HOWELL,NJ,7731,,,
042914,INDIAN BIBLE COLLEGE,2237 EAST CEDAR AVENUE,FLAGSTAFF,AZ,86004,,,
043047,"BARBER EDUCATION ACADEMY, (THE)",1505 CALLE DEL NORTE,LAREDO,TX,78041,,,
043029,BARBERS TRADE SCHOOL,665 ORLEANS STREET,BEAUMONT,TX,77701,,,
043025,EAST TEXAS COSMETOLOGY COLLEGE,3302 COLLEGE DRIVE,LUFKIN,TX,75904,,,
042916,RIGGINS URBAN BARBER COLLEGE,220 EUCLID AVENUE,SAN DIEGO,CA,92114,,,
E40611,URBAN BARBER COLLEGE -  MODESTO,425 MAZE BOULEVARD,MOODESTO,CA,95351,,,
043024,GRAHAM'S BARBER COLLEGE,3016 AL LIPSCOMB WAY,DALLAS,TX,75215,,,
E40612,URBAN BARBER COLLEGE - SAN JOSE,311 N CAPITOL AVE,SAN JOSE,CA,95133,,,
042700,URBAN BARBER COLLEGE,1827 WILLOW PASS ROAD,CONCORD,CA,94520,,,
042917,HAIR ARTS INSTITUTE,15001 NORTH MAY AVENUE,OKLAHOMA CITY,OK,73134,,,
E40791,L MAKEUP INSTITUTE - TEXAS,112 STATE STREET,SOUTHLAKE,TX,76092,,,
042919,FLORIDA PROFESSIONAL INSTITUTE,7951 SW 40 STREET,MIAMI,FL,33155,,,
043017,YESHIVA OF KASHO,590 SMITH STREET,BROOKLYN,NY,11231,,,
042921,RUBEN'S FIVE STAR ACADEMY,820 EAGLE RIDGE DRIVE,LAKE WALES,FL,33859,,,
042923,"FLORIDA ACADEMY OF NURSING, THE",12002 MIRAMAR PARKWAY,MIRAMAR,FL,33025,,,
042698,L MAKEUP INSTITUTE,440 SOUTH RAMPART BOULEVARD,LAS VEGAS,NV,89145,,,
042697,UR BEAUTY & BARBER ACADEMY,3750 EMERGENCY LANE,SEBRING,FL,33870,,,
042696,IBS SCHOOL OF COSMETOLOGY AND MASSAGE,110 EAST KAAHUMANU AVENUE,KAHULUI,HI,96732,,,
042690,GLOBAL TECH COLLEGE,"5555 AIRPORT HWY, SUITE 130",TOLEDO,OH,43615,,,
042924,BODY WISDOM MASSAGE THERAPY SCHOOL,8401 DOUGLAS AVENUE,URBANDALE,IA,50322,,,
042928,MASON ANTHONY SCHOOL OF COSMETOLOGY ARTS,5405 ROBERTS ROAD,HILLIARD,OH,43026,,,
043015,SADDLEBACK BEAUTY ACADEMY,23565 MOULTON PARKWAY,LAGUN/A HILLS,CA,92653,,,
042683,REXBURG COLLEGE OF MASSAGE THERAPY,669 PIONEER ROAD,REXBURG,ID,83440,,,
043009,SWEETWATER INSTITUTE OF COSMETOLOGY,409 SWEETWATER VONORE ROAD,SWEETWATER,TN,37874,,,
042111,HOT ROD INSTITUTE,2402 NORTH MAPLE AVENUE,RAPID CITY,SD,57701,,,
042681,RAY J'S COLLEGE OF HAIR,1726 WOODDALE COURT,BATON ROUGE,LA,70806,,,
G43007,KANSAS HEALTH SCIENCE CENTER,217 EAST DOUGLAS AVENUE,WICHITA,KS,67202,,,
042929,AGAPE COLLEGE OF BUSINESS AND SCIENCE,1313 P STREET,FRESNO,CA,93721,,,
042930,CALIFORNIA COLLEGE OF MUSIC,42 SOUTH CATALIN/A AVENUE,PASADEN/A,CA,91106,,,
043006,SOUTHEAST NEW MEXICO COLLEGE,1500 UNIVERSITY DRIVE,CARLSBAD,NM,88220,,,
043005,TOP OF THE LINE BARBER SCHOOL,2306 AUSTIN HIGHWAY,SAN ANTONIO,TX,78218,,,
042680,KOR BEAUTY ACADEMY,16610 NORTH 75TH AVENUE,PEORIA,AZ,85382,,,
042679,BROWN BEAUTY BARBER SCHOOL,1724 1ST AVENUE NORTH,BESSEMER,AL,35020,,,
043004,EDGE ACADEMY OF BEAUTY,356 MANCHESTER SQUARE SHOPPING CENT,MANCHESTER,KY,40962,,,
042678,BAIS BINYOMIN ACADEMY,51 CARLTON ROAD,MONSEY,NY,10952,,,
042675,INTERNATIONAL BARBER COLLEGE,7200 WEST CHANDLER BOULEVARD,CHANDLER,AZ,85226,,,
042673,LEHIGH VALLEY BARBER SCHOOL,1517B IRENE STREET,BETHLEHEM,PA,18018,,,
042932,PROFESSIONAL COSMETOLOGY ACADEMY (THE),3020 NORTH MEADOW AVENUE,LAREDO,TX,78040,,,
043003,ZORGANICS INSTITUTE OF BEAUTY AND WELLNE,410 WEST BAKERVIEW ROAD SUITE 112,BELLINGHAM,WA,98226,,,
042933,HACKENSACK MERIDIAN SCHOOL OF MEDICINE,"340 KINGSLAND STREET, BUILDING 123",NUTLEY,NJ,7110,,,
042934,OAK VALLEY COLLEGE,2759 AYALA DRIVE,RIALTO,CA,92377,,,
042672,ALLGOOD BEAUTY INSTITUTE,8981 2ND STREET,FRISCO,TX,75033,,,
G42935,CAL NORTHERN EDUCATIONAL DEVELOPMENT COR,1395 RIDGEWOOD DRIVE,CHICO,CA,95973,,,
042671,UNLIMITED COSMETOLOGY SCHOOL,102 BROAD STREET,HATTIESBURG,MS,39401,,,
042993,ASEL BEAUTY COLLEGE,9240 GARDEN GROVE BOULEVARD,GARDEN GROVE,CA,92844,,,
042937,SALON PROFESSIONAL ACADEMY OF HOLLAND (T,2975 WEST SHORE DRIVE,HOLLAND,MI,49424,,,
042938,MOTION PICTURE INSTITUTE,2040 CROOKS ROAD,TROY,MI,48084,,,
042939,LAKEWOOD UNIVERSITY,2231 NORTH TAYLOR ROAD,CLEVELAND HEIGHTS,OH,44112,,,
042942,ACADEMY OF ALLIED HEALTH CAREERS,5600 BRAINERD ROAD,CHATTANOOGA,TN,37411,,,
042943,RCCGNA SEMINARY,4320 HIGHWAY 380 BUSINESS,GREENVILLE,TX,75401,,,
042945,CALCOPA MASSAGE SCHOOL,18582 BEACH BOULEVARD,HUNTINGTON BEACH,CA,92648,,,
042670,NEO-ESTHETIQUE EUROPEAN INSTITUTE,AVENIDA WINSTON CHURCHILL #305,SAN JUAN,PR,926,,,
042669,SANS TECHNOLOGY INSTITUTE,11200 ROCKVILLE PIKE,NORTH BETHESDA,MD,20852,,,
042623,LEEDS ARTS UNIVERSITY,BLENHEIM WALK,LEEDS,FC,0,WEST YORKSHIRE,ENGLAND,LS2 9AQ
042668,CARIBBEAN AVIATION TRAINING INSTITUTE,AVENUE JOSE A. SANTAN/A ED CAF1,CAROLIN/A,PR,979,,,
042992,KINO COLLEGE,1980 WEST HOSPITAL DRIVE,TUCSON,AZ,85704,,,
042663,JOHNNY MATTHEW'S HAIRDRESSING TRAINING S,255 LIBERTY STREET NE,SALEM,OR,97301,,,
042991,NATIONAL INSTITUTE FOR MEDICAL ASSISTANT,1525 RALEIGH STREET,DENVER,CO,80204,,,
042988,SALON PROFESSIONAL ACADEMY (THE),4741 UNITED STATES HIGHWAY 9,HOWELL,NJ,7731,,,
042662,UNIVERSITE TOULOUSE 1 CAPITOLE,TOULOUSE SCHOOL OF ECONOMICS,TOULOUSE,FC,0,,FRANCE,31015
042984,PUERTO RICO ADVANCE INSTITUTE,14 BARBOSA STREET,BAYAMON,PR,961,,,
042660,BAIS MEDRASH MAYAN HATORAH,101 MILTON STREET,LAKEWOOD,NJ,8701,,,
