school_code,case_number,report_datetime,occurred_datetime,location,latitude,longitude,description,disposition,narrative
001739,2026-00000060,2026-02-01T23:25:24.000000Z,2026-02-01T10:48:00.000000Z,"222 HURON ST (Lot A), Evanston",41.8948934,-87.6351931,Hit and Run,Closed,"End occurred: February 01, 2026 at 11:45:00 PM Leaving Scene-Failure to Report Accident"
001739,2026-00000061,2026-02-03T10:10:26.000000Z,2026-02-03T07:40:00.000000Z,"222 HURON ST (Lot A), Evanston",41.8948934,-87.6351931,Property Damage - Criminal,Closed,"End occurred: February 03, 2026 at 10:09:00 AM Criminal Damage to Property"
001739,2026-00000062,2026-02-03T17:26:25.000000Z,2026-02-03T17:22:00.000000Z,"321 ERIE ST (D-Lot), Evanston",41.8937139,-87.6369744,Battery,Closed,"End occurred: February 03, 2026 at 5:26:00 PM Battery"
001739,2026-00000064,2026-02-05T12:14:18.000000Z,2026-02-05T12:10:00.000000Z,"345 SUPERIOR ST (RIC - Former Rehab Inst), Evanston",42.0568276,-87.6872172,Medical Services,Closed,"End occurred: February 05, 2026 at 12:14:00 PM"
001739,2026-00000065,2026-02-06T17:04:39.000000Z,2026-02-03T13:00:00.000000Z,"350 SUPERIOR ST (McCormick Hall), Evanston",42.0568276,-87.6872172,Property - Lost/Found,Closed,"End occurred: February 03, 2026 at 2:00:00 PM"
001739,2026-00000068,2026-02-10T17:15:23.000000Z,2026-02-09T16:15:00.000000Z,"420 SUPERIOR ST (Arthur Rubloff), Evanston",41.7625123,-88.3032127,Theft Under 500,Open,"End occurred: February 09, 2026 at 6:40:00 PM Theft - Obtains/Exerts Unauthorized Control Over Property of the Owner Less Than $500"
001739,2026-00000069,2026-02-12T16:59:42.000000Z,2026-02-05T08:00:00.000000Z,"357 CHICAGO AVE (Levy Mayer Hall), Evanston",42.0255824,-87.6776587,Property - Lost/Found,Closed,"End occurred: February 05, 2026 at 5:00:00 PM"
001739,2026-00000073,2026-02-13T23:28:34.000000Z,2026-02-13T18:00:00.000000Z,"211 SUPERIOR ST (University Police), Evanston",42.0568276,-87.6872172,Assist Other Agency,Closed,"End occurred: February 13, 2026 at 11:00:00 PM"
001739,2026-00000074,2026-02-17T08:34:00.000000Z,2026-02-17T01:39:00.000000Z,,40.6331249,-89.3985283,Assist Other Agency,Closed,"End occurred: February 17, 2026 at 3:06:00 AM"
001739,2026-00000076,2026-02-18T00:11:56.000000Z,2026-02-18T00:11:00.000000Z,"240 HURON ST (McGaw Pavilion), Evanston",42.0568276,-87.6872172,Property - Lost/Found,Closed,"End occurred: February 18, 2026 at 12:25:00 AM"
001739,2026-00000077,2026-02-19T11:45:38.000000Z,2026-02-17T21:30:00.000000Z,"222 HURON ST (Lot A), Evanston",41.8948934,-87.6351931,Hit and Run,Closed,"End occurred: February 19, 2026 at 11:30:00 AM Leaving Scene-Accident-Vehicle Damage"
001739,2026-00000078,2026-02-19T16:08:05.000000Z,2026-02-18T08:00:00.000000Z,"710 LAKE SHORE DR (Abbott Hall), Evanston",41.8953266,-87.616948,Suspicious Circumstances,Closed,"End occurred: February 19, 2026 at 8:00:00 AM"
001739,2026-00000080,2026-02-19T16:32:57.000000Z,2025-10-01T08:00:00.000000Z,"710 LAKE SHORE DR (Abbott Hall), Evanston",41.8953266,-87.616948,Harassment - Electronic,Closed,"End occurred: February 19, 2026 at 4:00:00 PM Harassment by Telephone"
001739,2026-00000082,2026-02-20T18:07:19.000000Z,2026-02-20T18:07:00.000000Z,"222 HURON ST (Lot A), Evanston",41.8948934,-87.6351931,Suspicious Persons,Closed,"End occurred: February 20, 2026 at 6:25:00 PM"
001739,2026-00000084,2026-02-22T09:46:30.000000Z,2026-02-22T09:44:00.000000Z,"222 HURON ST (Lot A), Evanston",41.8948934,-87.6351931,Theft - Labor or Services,Open,"End occurred: February 22, 2026 at 9:46:00 AM Theft of Labor or Services or Use of Property"
001739,2026-00000085,2026-02-23T13:25:14.000000Z,2026-02-23T06:38:00.000000Z,"222 HURON ST (Lot A), Evanston",41.8948934,-87.6351931,Hit and Run,Closed,"End occurred: February 23, 2026 at 1:17:00 PM Leaving Scene-Accident-Vehicle Damage"
001739,2026-00000086,2026-02-23T19:16:34.000000Z,2026-02-23T19:16:00.000000Z,"710 LAKE SHORE DR (Abbott Hall), Evanston",41.8953266,-87.616948,Unsecured Building/Office,Closed,"End occurred: February 23, 2026 at 7:30:00 PM"
001739,2026-00000087,2026-02-24T11:10:11.000000Z,2026-02-24T08:00:00.000000Z,"222 HURON ST (Lot A), Evanston",41.8948934,-87.6351931,Traffic Crash - Vehicle Only,Closed,"End occurred: February 24, 2026 at 8:05:00 AM"
001739,2026-00000089,2026-02-24T11:46:02.000000Z,2026-02-24T11:25:00.000000Z,"222 HURON ST (Lot A), Evanston",41.8948934,-87.6351931,Theft - Labor or Services,Closed,"End occurred: February 24, 2026 at 11:35:00 AM Theft of Labor or Services or Use of Property"
