school_code,case_number,report_datetime,occurred_datetime,location,latitude,longitude,description,disposition,narrative
001775,2026-00000002,2026-01-01T00:24:00.000000Z,2026-01-01T00:24:00.000000Z,"S Third St, Champaign",40.110245,-88.2353849,Fighting - Champaign Ordinance,Administratively Closed,
001775,2026-00000010,2026-01-01T03:47:00.000000Z,2026-01-01T03:28:00.000000Z,"211 E Green St, Champaign",40.1099746,-88.2356425,Criminal Defacement of Property,Cleared By Arrest,
001775,2026-00000013,2026-01-01T06:51:00.000000Z,2026-01-01T01:36:00.000000Z,"306 Gregory Dr, Champaign",40.1043427,-88.2348018,Burglary - Building,Administratively Closed,
001775,FI26006343,2026-01-01T16:01:00.000000Z,2026-01-01T16:01:00.000000Z,"616 E HEALEY ST, CHAMPAIGN",40.1117963,-88.2295953,THEFT,Administratively Closed,
001775,2026-99900001,2026-01-02T19:12:00.000000Z,2025-12-27T11:16:00.000000Z,"615 S Wright St, Champaign",40.1109984,-88.2290655,Theft - Obtains/Exerts Unauthorized Control Over Property of the Owner Less Than $500,Cleared By Arrest,
001775,2026-99900001,2026-01-02T19:12:00.000000Z,2025-12-27T11:16:00.000000Z,"615 S Wright St, Champaign",40.1109984,-88.2290655,UI No Trespass - University Wide - University Ordinance,Cleared By Arrest,
001775,2026-00000068,2026-01-02T19:55:00.000000Z,2026-01-01T01:00:00.000000Z,"706 S Fifth St, Champaign",40.1097564,-88.2317521,Aggravated Battery - Based on Location - Minor or No Injury - No Dangerous Weapon,Administratively Closed,
001775,2026-00000094,2026-01-03T17:29:00.000000Z,2026-01-03T17:25:00.000000Z,"306 E Green St, Champaign",40.1105524,-88.2344518,Disorderly Conduct - Actions Alarm or Disturb Another Provoking Breach of Peace,Cleared By Arrest,
001775,2026-00000098,2026-01-03T18:46:00.000000Z,2026-01-03T18:46:00.000000Z,"512 S Neil St, Champaign",40.1107061,-88.2429904,Theft-General - Champaign Ordinance,Administratively Closed,
001775,2026-00000110,2026-01-04T00:55:00.000000Z,2026-01-04T00:55:00.000000Z,"411 E Green St, Champaign",40.1101029,-88.2322478,Public Urination - Champaign Ordinance,Administratively Closed,
001775,2026-00000111,2026-01-04T01:04:00.000000Z,2026-01-04T01:04:00.000000Z,"N Lincoln Av, Urbana",40.1312145,-88.2196249,DUI - Alcohol Concentration in Blood or Breath 0.08 or More,Cleared By Arrest,
001775,2026-00000111,2026-01-04T01:04:00.000000Z,2026-01-04T01:04:00.000000Z,"N Lincoln Av, Urbana",40.1312145,-88.2196249,Possession of Controlled Substance,Cleared By Arrest,
001775,2026-00000111,2026-01-04T01:04:00.000000Z,2026-01-04T01:04:00.000000Z,"N Lincoln Av, Urbana",40.1312145,-88.2196249,DUI - Under the Influence of Alcohol,Cleared By Arrest,
001775,2026-00000158,2026-01-05T07:53:00.000000Z,2026-01-05T07:50:00.000000Z,"59 E Green St, Champaign",40.1100197,-88.2392727,Theft - Obtains/Exerts Unauthorized Control Over Property of the Owner Less Than $500,Administratively Closed,
001775,2026-00000159,2026-01-05T08:34:00.000000Z,2026-01-01T17:45:00.000000Z,"1800 S First St, Champaign",40.096253,-88.2359041,Theft of Lost or Mislaid Property,Pending Investigation,
001775,2026-00000159,2026-01-05T08:34:00.000000Z,2026-01-01T17:45:00.000000Z,"1800 S First St, Champaign",40.096253,-88.2359041,Use of Stolen/Counterfeited/Forged/Expired/Revoked/Unissued Credit or Debit Card With Intent to Defraud,Pending Investigation,
001775,2026-00000169,2026-01-05T14:01:00.000000Z,2025-12-20T12:00:00.000000Z,"1401 W Green St, Urbana",40.1094131,-88.2271693,Forgery,Administratively Closed,
001775,2026-00000171,2026-01-05T16:13:00.000000Z,2026-01-05T16:13:00.000000Z,"600 S Mathews Av, Urbana",40.1075481,-88.2248227,Criminal Trespass to State Supported Land,Cleared By Arrest,
001775,2026-00000270,2026-01-08T00:20:00.000000Z,2026-01-08T00:18:00.000000Z,"601 E John St, Champaign",40.1088331,-88.230034,UI No Trespass - University Wide - University Ordinance,Administratively Closed,
001775,2026-00000270,2026-01-08T00:20:00.000000Z,2026-01-08T00:18:00.000000Z,"601 E John St, Champaign",40.1088331,-88.230034,Minor Remains in Public Place or on Premises of any Establishment During Curfew Hours,Administratively Closed,
001775,2026-00000277,2026-01-08T10:02:00.000000Z,2025-01-08T10:02:00.000000Z,"212 E Green St, Champaign",40.1104106,-88.2356253,Criminal Trespass to Vehicles,Administratively Closed,
001775,2026-00000287,2026-01-08T13:38:00.000000Z,2026-01-07T11:33:00.000000Z,"1107 W Green St, Urbana",40.110185,-88.2230618,Theft - Obtains/Exerts Unauthorized Control Over Property of the Owner Less Than $500,Cleared By Arrest,
001775,2026-99900003,2026-01-09T17:57:00.000000Z,2026-01-09T09:55:00.000000Z,"507 S Fourth St, Champaign",40.1118436,-88.2339945,Theft - Obtains/Exerts Unauthorized Control Over Property of the Owner Less Than $500,Administratively Closed,
