school_code,case_number,report_datetime,occurred_datetime,location,latitude,longitude,description,disposition,narrative
002290,2658100006,2026-01-03T06:11:00.000000Z,2026-01-02T14:00:00.000000Z,"219 S Harrison Rd, East Lansing",42.7317061,-84.4931804,BURGLARY -ENTRY WITHOUT FORCE (INTENT TO COMMIT),5 - Inactive,
002290,2658100191,2026-02-04T12:30:00.000000Z,2026-02-03T23:00:00.000000Z,"988 S Brody Rd, East Lansing",42.7302241,-84.496032,BURGLARY -FORCED ENTRY,3 - Unfounded,
002290,2658100304,2026-02-17T22:57:00.000000Z,2026-02-17T22:45:00.000000Z,"271 W Brody Rd, East Lansing",42.7310161,-84.4971212,FELONIOUS ASSAULT & MSU ORDINANCE VIOLATION 18.01: WEAPONS PROHIBITED,2 - Arrest,
002290,2658100016,2026-01-06T14:40:00.000000Z,2025-01-05T17:00:00.000000Z,"1446-1451 Middlevale, East Lansing",42.7171771,-84.4986382,BURGLARY -FORCED ENTRY,5 - Inactive,
002290,2658100128,2026-01-26T12:22:00.000000Z,2026-01-23T00:00:00.000000Z,"842 Chestnut Rd, East Lansing",42.7245028,-84.4885832,DAMAGE TO PROPERTY-MANDATORY REPORT OF ARSON,5 - Inactive,
002290,2658100016,2026-01-06T14:40:00.000000Z,2025-01-05T17:00:00.000000Z,"1446-1451 Middlevale, East Lansing",42.7171771,-84.4986382,BURGLARY - UNLAWFUL ENTRY (NO INTENT),5 - Inactive,
002290,2658100264,2026-02-12T15:00:00.000000Z,2026-02-12T15:00:00.000000Z,"26 Middlevale Rd, Bldg 1632",42.7143269,-84.4995307,BURGLARY - UNLAWFUL ENTRY (NO INTENT),5 - Inactive,
002290,2658100316,2026-02-21T03:19:00.000000Z,2026-02-21T03:19:00.000000Z,"223 Kalamazoo St, East Lansing",42.7308226,-84.489993,BURGLARY - UNLAWFUL ENTRY (NO INTENT),5 - Inactive,
002290,2658100307,2026-02-19T01:28:00.000000Z,2026-02-19T01:22:00.000000Z,"4660 S Hagadorn Rd, East Lansing",42.7175692,-84.4605125,BURGLARY -FORCED ENTRY,4 - Active,
002290,2658100086,2026-01-20T08:44:25.000000Z,2026-01-18T15:00:00.000000Z,"908 Akers Rd, East Lansing",42.7243407,-84.4647789,DAMAGE TO PROPERTY,5 - Inactive,
002290,2658100295,2026-02-17T10:42:00.000000Z,2026-02-17T00:01:00.000000Z,"271 W Brody Rd, East Lansing",42.7310161,-84.4971212,DAMAGE TO PROPERTY,5 - Inactive,
002290,2658100297,2026-02-17T15:05:00.000000Z,2026-02-17T06:00:00.000000Z,"65 Middlevale Rd, East Lansing",42.7153901,-84.5010891,BURGLARY - UNLAWFUL ENTRY (NO INTENT),5 - Inactive,
002290,2658100085,2026-01-19T11:10:00.000000Z,2025-09-19T18:00:00.000000Z,"891 Birch Rd, East Lansing",42.7244175,-84.4900173,STALKING AND BURGLARY.  MANDATORY REPORT-DATING VIOLENCE,4 - Active,
002290,2658100220,2026-02-07T14:16:00.000000Z,2026-02-07T01:00:00.000000Z,"271 W Brody Rd, East Lansing",42.7310161,-84.4971212,DAMAGE TO PROPERTY,5 - Inactive,
002290,2658100353,2026-02-25T17:10:00.000000Z,2026-02-25T01:00:00.000000Z,"842 Chestnut Rd, East Lansing",42.7245028,-84.4885832,BURGLARY- FORCED ENTRY & MANDATORY REPORT- HAZING,4 - Active,
002290,2658100134,2026-01-26T20:25:00.000000Z,2025-12-01T00:00:00.000000Z,"140 E Brody Rd, East Lansing",42.7326222,-84.4948471,DAMAGE TO PROPERTY,5 - Inactive,
002290,2658100064,2026-01-15T08:58:00.000000Z,2026-01-13T13:00:00.000000Z,"57 Middlevale Rd, East Lansing",42.7153901,-84.5010891,BURGLARY -FORCED ENTRY,4 - Active,
002290,2658100246,2026-02-11T13:31:00.000000Z,2026-02-06T12:00:00.000000Z,"988 S Brody Rd, East Lansing",42.7302241,-84.496032,DAMAGE TO PROPERTY,4 - Active,
002290,2658100367,2026-02-27T00:45:00.000000Z,2026-02-27T00:00:00.000000Z,"271 W Brody Rd, East Lansing",42.7310161,-84.4971212,DAMAGE TO PROPERTY,5 - Inactive,
002290,2658100074,2026-01-16T13:25:00.000000Z,2025-12-13T20:00:00.000000Z,"271 W Brody Rd, East Lansing",42.7310161,-84.4971212,BURGLARY -ENTRY WITHOUT FORCE (INTENT TO COMMIT),5 - Inactive,
002290,2658100177,2026-02-02T00:00:00.000000Z,2026-01-30T23:00:00.000000Z,"209 W Brody Rd, East Lansing",42.7320349,-84.4971363,DAMAGE TO PROPERTY,5 - Inactive,
002290,2658100189,2026-02-04T11:02:00.000000Z,2026-02-02T23:00:00.000000Z,"271 W Brody Rd, East Lansing",42.7310161,-84.4971212,DAMAGE TO PROPERTY,5 - Inactive,
002290,2658100341,2026-02-22T07:08:00.000000Z,2026-02-19T09:00:00.000000Z,"692 W Circle Dr, East Lansing",42.7332978,-84.486828,DAMAGE TO PROPERTY,5 - Inactive,
002290,2658100200,2026-02-05T08:35:00.000000Z,2026-02-04T00:00:00.000000Z,"578 Wilson Rd, East Lansing",42.7215977,-84.4748554,DAMAGE TO PROPERTY,4 - Active,
002290,2658100224,2026-02-09T09:25:00.000000Z,2026-02-08T09:00:00.000000Z,"632 W Circle Dr, East Lansing",42.7338948,-84.4851412,DAMAGE TO PROPERTY,5 - Inactive,
002290,2658100216,2026-02-07T08:43:00.000000Z,2026-02-06T15:00:00.000000Z,"632 W Circle Dr, East Lansing",42.7338948,-84.4851412,DAMAGE TO PROPERTY,5 - Inactive,
002290,2658100288,2026-02-16T15:30:00.000000Z,2026-02-13T18:00:00.000000Z,"632 W Circle Dr, East Lansing",42.7338948,-84.4851412,DAMAGE TO PROPERTY,5 - Inactive,
002290,2658100151,2026-01-29T13:30:00.000000Z,2026-01-29T01:00:00.000000Z,"995 N Brody Rd, East Lansing",42.7327343,-84.4965578,DAMAGE TO PROPERTY,5 - Inactive,
002290,2658100163,2026-01-31T09:25:00.000000Z,2026-01-31T09:25:00.000000Z,"634 W Circle Dr, East Lansing",42.7335516,-84.4850309,DAMAGE TO PROPERTY,5 - Inactive,
002290,2658100199,2026-02-05T08:35:00.000000Z,2026-02-05T02:40:00.000000Z,"1066 Bogue St, East Lansing",42.7221414,-84.473122,DAMAGE TO PROPERTY,4 - Active,
002290,2658100140,2026-01-27T13:51:00.000000Z,2026-01-22T00:00:00.000000Z,"219 Wilson Rd, East Lansing",42.7228094,-84.4890215,DAMAGE TO PROPERTY,5 - Inactive,
002290,2658100156,2026-01-30T11:55:00.000000Z,2026-01-28T17:30:00.000000Z,"953 Service Rd, East Lansing",42.719999,-84.463782,DAMAGE TO PROPERTY,5 - Inactive,
002290,2658100256,2026-02-11T23:18:00.000000Z,2026-02-11T23:18:00.000000Z,"234 Wilson Rd, East Lansing",42.7209117,-84.4883077,FIRE - ACCIDENT (FIRE),8 - Not A Crime/Other Service,
002290,2658100076,2026-01-17T15:44:00.000000Z,2026-01-17T15:44:00.000000Z,"735 E Shaw Ln, East Lansing",42.726557,-84.470563,FIRE - ACCIDENT (FIRE),8 - Not A Crime/Other Service,
002290,2658100208,2026-02-06T12:58:00.000000Z,2026-01-30T18:30:00.000000Z,"234 Wilson Rd, East Lansing",42.7209117,-84.4883077,FRAUD -WIRE FRAUD,5 - Inactive,
002290,2658100355,2026-02-25T21:27:00.000000Z,2026-02-22T12:00:00.000000Z,"964 Hubbard Rd, East Lansing",42.7234321,-84.4635113,FRAUD -WIRE FRAUD,4 - Active,
002290,2658100330,2026-02-22T12:52:14.000000Z,2026-02-22T12:52:14.000000Z,"325 W SHAW LN, East Lansing",42.7279228,-84.4851791,FIRE - ACCIDENT (FIRE),5 - Inactive,
002290,2658100311,2026-02-19T17:18:00.000000Z,2026-02-19T17:15:00.000000Z,"995 N Brody Rd, East Lansing",42.7327343,-84.4965578,FIRE - INSPECTION (FIRE),8 - Not A Crime/Other Service,
