school_code,case_number,report_datetime,occurred_datetime,location,latitude,longitude,description,disposition,narrative
002554,26000009,2026-01-04T00:44:00.000000Z,2026-01-04T00:34:00.000000Z,"HOLDREGE ST & N 33RD ST (STREET), Omaha",41.2565369,-95.9345034,TRAFFIC - OTHER,Closed - Inactive,
002554,26000016,2026-01-05T14:42:00.000000Z,2026-01-05T14:42:00.000000Z,"2075 N 38th St (GOV'T LOT/FIELD (UNL)), Omaha",41.2768247,-95.968818,FIRE (WORKING) - NO ALARM,Closed - Non-Criminal Case,
002554,26000018,2026-01-06T00:26:00.000000Z,2026-01-06T00:26:00.000000Z,"N 22ND ST & VINE ST (STREET), Omaha",41.2565369,-95.9345034,TRAFFIC - SUSPENDED DRIVER,Closed - Cleared By Arrest-Adult,
002554,26000027,2026-01-07T00:54:00.000000Z,2026-01-07T00:54:00.000000Z,"N 33RD ST & HWY CORNHUSKER (STREET), Omaha",41.2956206,-95.9613285,TRAFFIC - OTHER,Closed - Inactive,
002554,26000028,2026-01-07T04:33:00.000000Z,2026-01-07T00:30:00.000000Z,"1220 N 14th St (GOV'T PARKING LOT (UNL)), Omaha",41.2705195,-95.9343759,ACCIDENTS - P.D. H&R NOT REPORTABLE,Closed - Cleared By Arrest-Adult,
002554,26000032,2026-01-07T13:08:00.000000Z,2025-12-30T23:00:00.000000Z,"300 N 17th St (UNL SUPPORT FACILITY (office, service))",40.8163668,-96.6960007,VANDALISM - BY GRAFFITI,Closed - Inactive,12/31/2025 00:30
002554,26000040,2026-01-08T15:23:00.000000Z,2025-07-02T15:23:00.000000Z,"2222 R Street (MULTI-DWELLING (7 + UNITS) off campus), Omaha",41.2047728,-95.9517586,FRAUD - CON GAMES/DECEPTION/FALSE    PRETENSE/OTHER,Closed - Non-Criminal Case,
002554,26000045,2026-01-08T19:51:00.000000Z,2026-01-08T19:50:00.000000Z,"N 40TH ST & EAST CAMPUS LOOP (UNL OWNED STREETS), Omaha",41.2565369,-95.9345034,TRAFFIC - SUSPENDED DRIVER,Closed - Cleared By Arrest-Adult,
002554,26000047,2026-01-09T05:22:00.000000Z,2026-01-09T05:22:00.000000Z,"625 Stadium Dr (GOV'T PARKING GARAGE (UNL)), Omaha",41.2565369,-95.9345034,TRESPASSING,Closed - Non-Criminal Case,
002554,OS26001,2026-01-09T10:11:00.000000Z,2025-11-01T00:01:00.000000Z,"On-Campus Housing, Omaha",41.264695,-96.0493989,SEX OFFENSE - RAPE,Na - Clery Report Only,11/01/2025 23:59
002554,OS26002,2026-01-09T11:45:00.000000Z,2025-09-26T00:01:00.000000Z,"On-Campus Housing, Omaha",41.264695,-96.0493989,ASSAULT - DOMESTIC,Na - Clery Report Only,09/26/2025 23:59
002554,OS26003,2026-01-09T13:40:00.000000Z,2025-08-01T00:01:00.000000Z,"On-Campus, Omaha",41.264695,-96.0493989,STALKING,Na - Clery Report Only,10/08/2025 00:01
002554,OS26004,2026-01-09T13:52:00.000000Z,2025-11-14T00:01:00.000000Z,"On-Campus, Omaha",41.264695,-96.0493989,STALKING,Na - Clery Report Only,11/14/2025 23:59
002554,26000056,2026-01-09T17:00:00.000000Z,2026-01-05T18:00:00.000000Z,"1830 Vine St (GOV'T PARKING GARAGE (UNL)), Omaha",40.8217063,-96.6944932,ACCIDENTS - P.D. H&R NOT REPORTABLE,Closed - Non-Criminal Case,01/09/2026 17:00
002554,26000067,2026-01-11T02:14:00.000000Z,2026-01-11T02:14:00.000000Z,"ANTELOPE VALLEY PARKWAY & N ST (STREET), Omaha",41.2565369,-95.9345034,TRAFFIC - SUSPENDED DRIVER,Closed - Cleared By Arrest-Adult,
002554,26000069,2026-01-11T15:42:00.000000Z,2026-01-10T11:30:00.000000Z,"300 N 17th St (SIDEWALK), Omaha",41.2616563,-95.9384766,LARCENY - STOLEN BIKE,Closed - Inactive,01/11/2026 15:00
002554,26000074,2026-01-12T08:22:00.000000Z,2026-01-12T08:19:00.000000Z,"530 N 17th St (GOV'T PARKING LOT (UNL)), Omaha",41.2639867,-95.9385811,ACCIDENTS - INJURY,Closed - Cleared By Arrest-Adult,
002554,26000079,2026-01-12T10:57:00.000000Z,2026-01-07T14:00:00.000000Z,"451 N 12th St (SIDEWALK), Omaha",41.2631738,-95.9311277,VANDALISM - BY GRAFFITI,Open,01/12/2026 10:00
002554,26000082,2026-01-12T13:31:00.000000Z,2026-01-03T03:47:00.000000Z,"820 N 17th St (UNL RESIDENCE HALL), Omaha",41.267126,-95.9383797,LARCENY - OTHER OR FROM OPEN AREA,Closed - Inactive,
002554,26000098,2026-01-13T17:15:00.000000Z,2026-01-13T17:15:00.000000Z,"2222 Vine St (UNL APARTMENT), Omaha",41.2565369,-95.9345034,FIRE (WORKING) - ALARM,Closed - Non-Criminal Case,
002554,26000104,2026-01-14T01:44:00.000000Z,2026-01-14T01:44:00.000000Z,"1548 Vine St (OFF CAMPUS/GREEK HOUSING), Omaha",41.2565369,-95.9345034,ALCOHOL - MINOR IN POSSESSION,Closed - Non-Criminal Case,
