school_code,case_number,report_datetime,occurred_datetime,location,latitude,longitude,description,disposition,narrative
003090,P2026-00581,2026-02-27T14:44:00.000000Z,2026-02-27T09:00:00.000000Z,"OSU East Hospital, Columbus",39.9705785,-82.9625658,Criminal Damaging/Endangering _ knowingly any means,Closed,
003090,P2026-00580,2026-02-27T13:33:00.000000Z,2026-02-26T22:50:00.000000Z,"Northwood-High Building, Columbus",40.0078085,-83.0102037,Graffitism (CCC),Closed,
003090,P2026-00579,2026-02-27T12:25:00.000000Z,2025-08-01T12:00:00.000000Z,"Dreese Laboratories, Columbus",40.0023557,-83.0159597,Theft,Closed,
003090,P2026-00578,2026-02-27T11:23:00.000000Z,2026-02-27T11:23:00.000000Z,"Arps Hall, Columbus",40.0018032,-83.0096037,"Telecommunications Harassment _ anonymous, harassing, etc.",Closed,
003090,P2026-00576,2026-02-27T10:29:00.000000Z,2026-02-26T08:00:00.000000Z,"Jones Tower, Columbus",40.0052417,-83.0120328,Theft _ without consent,Closed,
003090,P2026-00575,2026-02-27T09:50:00.000000Z,2026-02-27T09:50:00.000000Z,"McPherson Chemical Laboratory, Columbus",40.0025136,-83.0123396,Criminal Trespass (CCC),Closed,
003090,P2026-00577,2026-02-27T08:01:00.000000Z,2026-02-27T08:01:00.000000Z,"University Square North (1031), Columbus",40.0006275,-83.0077161,"Criminal Mischief _ move, deface, tamper, etc. property of another",Closed,
003090,P2026-00573,2026-02-27T04:46:00.000000Z,2026-02-27T04:46:00.000000Z,"Park-Stradley Hall, Columbus",39.9958328,-83.0107037,Offenses Involving Underage Persons _ underage consume beer intoxicating liquor,Open - Arrest,
003090,P2026-00571,2026-02-27T02:00:00.000000Z,2026-02-27T02:00:00.000000Z,"Park-Stradley Hall, Columbus",39.9958328,-83.0107037,Theft of mail.,Open - Arrest,
003090,P2026-00569,2026-02-27T00:42:00.000000Z,2026-02-27T00:42:00.000000Z,"Baker Hall - East, Columbus",39.9965117,-83.0098746,Offenses Involving Underage Persons _ underage consume beer intoxicating liquor,Open - Arrest,
003090,P2026-00568,2026-02-27T00:25:00.000000Z,2026-02-26T12:01:00.000000Z,"Lincoln Tower, Columbus",39.9986486,-83.0221152,"Burglary _ trespass in occupied structure, separately secured structure, or separately occupied portion of an occupied structure that is a permanent or temporary habitation of any person when any person is present or likely to be present, w/ purpose to commit in the habitation any criminal offense.",Open - Pending Investigation,
003090,P2026-00565,2026-02-26T22:10:00.000000Z,2026-02-26T13:12:00.000000Z,"Morrill Tower, Columbus",40.000208,-83.0219719,"Burglary _ trespass in occupied structure, separately secured structure, or separately occupied portion of an occupied structure when another person is present, with purpose to commit any criminal offense.",Open - Pending Investigation,
003090,P2026-00564,2026-02-26T21:42:00.000000Z,2026-02-26T13:12:00.000000Z,"Morrill Tower, Columbus",40.000208,-83.0219719,"Burglary _ trespass in occupied structure, separately secured structure, or separately occupied portion of an occupied structure when another person is present, with purpose to commit any criminal offense.",Open - Pending Investigation,
003090,P2026-00562,2026-02-26T19:00:00.000000Z,2026-02-26T17:30:00.000000Z,"Morrill Tower, Columbus",40.000208,-83.0219719,Theft _ without consent,Closed,
003090,P2026-00561,2026-02-26T18:15:00.000000Z,2026-02-21T12:12:00.000000Z,"Park-Stradely Hall, Columbus",39.9958328,-83.0107037,Theft of mail.,Open - Pending Investigation,
003090,P2026-00563,2026-02-26T18:04:00.000000Z,2026-02-26T13:12:00.000000Z,"Morrill Tower, Columbus",40.000208,-83.0219719,"Burglary _ trespass in occupied structure, separately secured structure, or separately occupied portion of an occupied structure when another person is present, with purpose to commit any criminal offense.",Open - Pending Investigation,
003090,P2026-00560,2026-02-26T17:36:00.000000Z,2026-02-26T12:01:00.000000Z,"Lincoln Tower, Columbus",39.9986486,-83.0221152,"Burglary _ trespass in occupied structure, separately secured structure, or separately occupied portion of an occupied structure when another person is present, with purpose to commit any criminal offense.",Open - Pending Investigation,
003090,P2026-00559,2026-02-26T16:25:00.000000Z,2026-02-26T13:12:00.000000Z,"Morrill Tower, Columbus",40.000208,-83.0219719,"Burglary _ trespass in occupied structure, separately secured structure, or separately occupied portion of an occupied structure when another person is present, with purpose to commit any criminal offense.",Open - Pending Investigation,
003090,P2026-00556,2026-02-26T01:57:00.000000Z,2026-02-26T00:40:00.000000Z,"Emergency Department - OSU East, Columbus",39.9705785,-82.9625658,Voyeurism _ to spy or eavesdrop upon another,Closed,
003090,P2026-00547,2026-02-25T13:59:00.000000Z,2026-02-25T13:59:00.000000Z,"Optometry Clinic, Columbus",40.0005843,-82.9280405,Assault _ knowingly harm victim,Closed,
003090,P2026-00543,2026-02-25T11:42:00.000000Z,2026-02-24T07:00:00.000000Z,"James Cancer Hospital, Columbus",39.9948848,-83.0195209,Assault,Closed,
003090,P2026-00540,2026-02-25T04:28:00.000000Z,2026-02-25T04:28:00.000000Z,"Bowen House, Columbus",40.0053383,-83.0094179,Criminal Trespass (CCC),Open - Arrest,
003090,P2026-00538,2026-02-24T17:52:00.000000Z,2026-02-24T17:52:00.000000Z,"Wexner Center for the Arts, Columbus",40.0002119,-83.0093697,Graffitism (CCC),Closed,
003090,CSA2026-00553,2026-02-24T16:35:00.000000Z,2026-02-23T21:30:00.000000Z,"Baker Hall West, Columbus",39.9965117,-83.0098746,Disorderly Conduct _ fighting or threatening,Closed,
003090,P2026-00537,2026-02-24T15:15:00.000000Z,2026-02-24T15:15:00.000000Z,"Jesse Owens Recreation Center South, Columbus",39.9946174,-83.0103601,"Public Indecency _ exposure; Disorderly Conduct (CCC) - Intox, risk of harm",Open - Arrest,
003090,CSA2026-00534,2026-02-24T10:52:00.000000Z,2026-02-13T00:00:00.000000Z,"UNKNOWN CAMPUS LOCATION, Columbus",39.9625112,-83.0032218,CSA Report: Rape,Open - Pending Investigation,
003090,P2026-00533,2026-02-24T07:58:00.000000Z,2026-02-23T17:28:00.000000Z,"Smashburger, Columbus",39.9998094,-83.0078336,Criminal Trespass _ restricted area; Graffitism (CCC),Open - Pending Investigation,
003090,P2026-00532,2026-02-23T20:25:00.000000Z,2026-02-23T18:00:00.000000Z,"Emergency Department - OSU Main, Columbus",40.0060889,-83.0282624,"Telecommunications Harassment _ anonymous, harassing, etc.",Closed,
003090,P2026-00531,2026-02-23T17:13:00.000000Z,2026-02-23T15:20:00.000000Z,"Ohio State University Hospital, Columbus",39.9952162,-83.0179869,Theft _ without consent,Unfounded,
003090,P2026-00530,2026-02-23T15:40:00.000000Z,2026-02-23T12:33:00.000000Z,"Wexner Medical Center, Columbus",39.9952162,-83.0179869,"Telecommunications Harassment _ comment, request, suggestion, or proposal",Open - Pending Investigation,
003090,P2026-00527,2026-02-23T13:27:00.000000Z,2026-02-20T15:00:00.000000Z,"Pressey Hall, Columbus",40.0039766,-83.0379837,Breaking and Entering _ purpose commit theft offense/felony unoccupied structure -- use of force stealth deception,Open - Pending Investigation,
003090,CSA2026-00544,2026-02-23T13:13:00.000000Z,2026-01-12T08:00:00.000000Z,"Houston House, Columbus",40.0058023,-83.0116918,Theft _ without consent,Closed,
003090,P2026-00521,2026-02-22T22:22:00.000000Z,2026-02-22T17:30:00.000000Z,"Smith-Steeb Hall, Columbus",39.9957847,-83.0092508,Criminal Trespass _ land premises of another,Closed,
003090,P2026-00519,2026-02-22T19:50:00.000000Z,2026-02-21T11:12:00.000000Z,"Smith-Steeb Hall, Columbus",39.9957847,-83.0092508,Theft of mail.,Closed,
003090,P2026-00518,2026-02-22T17:24:00.000000Z,2026-02-22T17:24:00.000000Z,"Hale Hall, Columbus",39.9969858,-83.0117566,Criminal Trespass,Closed,
003090,P2026-00517,2026-02-22T16:35:00.000000Z,2026-02-22T16:35:00.000000Z,"Wexner Medical Center, Columbus",39.9952162,-83.0179869,"Telecommunications Harassment _ comment, request, suggestion, or proposal",Closed,
003090,P2026-00516,2026-02-22T16:32:00.000000Z,2026-02-22T16:32:00.000000Z,"Ohio Union, Columbus",39.9978745,-83.0086663,Criminal Trespass (CCC),Open - Arrest,
003090,P2026-00515,2026-02-22T11:46:00.000000Z,2026-02-21T19:30:00.000000Z,"Park-Stradley Hall, Columbus",39.9958328,-83.0107037,Theft of mail.,Open - Pending Investigation,
003090,P2026-00512,2026-02-21T18:06:00.000000Z,2026-02-21T18:06:00.000000Z,"Schottenstein Center, Columbus",40.0075992,-83.0248064,License Required (CCC),Open - Arrest,
003090,P2026-00511,2026-02-21T17:09:00.000000Z,2026-02-21T17:09:00.000000Z,"Raising Cane's Chicken Fingers, Columbus",39.9625112,-83.0032218,Criminal Trespass (CCC),Closed,
