school_code,case_number,report_datetime,occurred_datetime,location,latitude,longitude,description,disposition,narrative
003329,26UP00958,2026-02-27T02:43:00.000000Z,2026-02-27T02:43:00.000000Z,"PANOFSKY HALL, University Park",40.8009179,-77.8539317,Student reported a concern for another student,Closed,End occurred: 02/27/2026 03:32 AM HEALTH AND SAFETY RULES AND REGULATIONS
003329,26UP00956,2026-02-27T02:05:00.000000Z,2026-02-27T02:05:00.000000Z,"W COLLEGE AVE & N BURROWES RD, University Park",40.7927108,-77.8639069,A vehicle stop investigation revealed the operator to be driving under the influence of alcohol,Open,End occurred: 02/27/2026 03:28 AM VEHICLE CODE VIOLATION VEHICLE CODE VIOLATION DUI DUI
003329,26UP00954,2026-02-27T01:28:00.000000Z,2026-02-27T01:28:00.000000Z,"W COLLEGE AVE & N ATHERTON ST, University Park",40.7917344,-77.8651947,A vehicle stop investigation revealed the operator to be driving under the influence of a controlled substance,Open,DUI VEHICLE CODE VIOLATION ALL OT POSS DRUG PARAPHERNALIA DUI
003329,26UP00951,2026-02-26T22:22:00.000000Z,2026-02-26T22:22:00.000000Z,"BRUMBAUGH HALL, University Park",40.8064583,-77.863198,Student reported fraudulent activity on a personal account,Open,End occurred: 02/26/2026 11:00 PM FRAUD ACCESS DEVICE FRAUD FRAUD THEFT BY DECEPTION
003329,PSHI-2026-02-I-134331,2026-02-26T22:20:00.000000Z,2026-02-26T21:50:00.000000Z,"Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital, University Park",40.8147955,-77.8653126,Visitor match to the sex offender registry.,Closed,Sex Offender Registry/True
003329,PSHI-2026-02-I-134327,2026-02-26T20:21:00.000000Z,2026-02-26T18:27:00.000000Z,"Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital, University Park",40.8147955,-77.8653126,Spoke with caller concerning harassment by phone.,Closed,Harassment/Phone
003329,26ER00055,2026-02-26T19:45:00.000000Z,2026-02-26T17:30:00.000000Z,"ERIE HALL, University Park",40.8147955,-77.8653126,Student reported the theft of their unsecured personal property,Not Cleared,"End occurred: 02/26/2026 07:30 PM THEFT, OTHER"
003329,26UP00945,2026-02-26T19:02:00.000000Z,2026-02-26T19:02:00.000000Z,"LOT 81 SHUNK HALL LOT, University Park",40.8012496,-77.8561848,Student reported an animal left unattended in a vehicle,Closed,End occurred: 02/26/2026 07:21 PM ANIMAL COMPLAINT
003329,26AL00095,2026-02-26T17:32:00.000000Z,2026-02-26T17:32:00.000000Z,"TREASURE LK, University Park",41.1733942,-78.7158611,Assisted an outside law enforcement agency with an investigation,Open,End occurred: 02/26/2026 05:56 PM ASSIST OTHER LE AGENCY no UCR
003329,26BR00017,2026-02-26T16:40:00.000000Z,2026-02-26T16:00:00.000000Z,"BAKER ENGINEERING & SCIENCE BUILDING, University Park",40.8147955,-77.8653126,Student reported the theft of their unattended] personal property,Open,"End occurred: 02/26/2026 04:40 PM THEFT, FROM BUILDING"
