Number,Reported_Date_Time,Occurred_From_Date_Time,Location,Description,Disposition,Narrative,School_Code,latitude,longitude
2026-00000060,"February 01, 2026 at 11:25:24 PM","February 01, 2026 at 10:48:00 AM",222 HURON ST (Lot A),Hit and Run,Closed,"End occurred: February 01, 2026 at 11:45:00 PM Leaving Scene-Failure to Report Accident",001740,,
2026-00000061,"February 03, 2026 at 10:10:26 AM","February 03, 2026 at 7:40:00 AM",222 HURON ST (Lot A),Property Damage - Criminal,Closed,"End occurred: February 03, 2026 at 10:09:00 AM Criminal Damage to Property",001740,,
2026-00000062,"February 03, 2026 at 5:26:25 PM","February 03, 2026 at 5:22:00 PM",321 ERIE ST (D-Lot),Battery,Closed,"End occurred: February 03, 2026 at 5:26:00 PM Battery",001740,,
2026-00000064,"February 05, 2026 at 12:14:18 PM","February 05, 2026 at 12:10:00 PM",345 SUPERIOR ST (RIC - Former Rehab Inst),Medical Services,Closed,"End occurred: February 05, 2026 at 12:14:00 PM",001740,,
2026-00000065,"February 06, 2026 at 5:04:39 PM","February 03, 2026 at 1:00:00 PM",350 SUPERIOR ST (McCormick Hall),Property - Lost/Found,Closed,"End occurred: February 03, 2026 at 2:00:00 PM",001740,,
2026-00000068,"February 10, 2026 at 5:15:23 PM","February 09, 2026 at 4:15:00 PM",420 SUPERIOR ST (Arthur Rubloff),Theft Under 500,Open,"End occurred: February 09, 2026 at 6:40:00 PM Theft - Obtains/Exerts Unauthorized Control Over Property of the Owner Less Than $500",001740,,
2026-00000069,"February 12, 2026 at 4:59:42 PM","February 05, 2026 at 8:00:00 AM",357 CHICAGO AVE (Levy Mayer Hall),Property - Lost/Found,Closed,"End occurred: February 05, 2026 at 5:00:00 PM",001740,,
2026-00000073,"February 13, 2026 at 11:28:34 PM","February 13, 2026 at 6:00:00 PM",211 SUPERIOR ST (University Police),Assist Other Agency,Closed,"End occurred: February 13, 2026 at 11:00:00 PM",001740,,
2026-00000074,"February 17, 2026 at 8:34:00 AM","February 17, 2026 at 1:39:00 AM",NA,Assist Other Agency,Closed,"End occurred: February 17, 2026 at 3:06:00 AM",001740,,
2026-00000076,"February 18, 2026 at 12:11:56 AM","February 18, 2026 at 12:11:00 AM",240 HURON ST (McGaw Pavilion),Property - Lost/Found,Closed,"End occurred: February 18, 2026 at 12:25:00 AM",001740,,
2026-00000077,"February 19, 2026 at 11:45:38 AM","February 17, 2026 at 9:30:00 PM",222 HURON ST (Lot A),Hit and Run,Closed,"End occurred: February 19, 2026 at 11:30:00 AM Leaving Scene-Accident-Vehicle Damage",001740,,
2026-00000078,"February 19, 2026 at 4:08:05 PM","February 18, 2026 at 8:00:00 AM",710 LAKE SHORE DR (Abbott Hall),Suspicious Circumstances,Closed,"End occurred: February 19, 2026 at 8:00:00 AM",001740,,
2026-00000080,"February 19, 2026 at 4:32:57 PM","October 01, 2025 at 8:00:00 AM",710 LAKE SHORE DR (Abbott Hall),Harassment - Electronic,Closed,"End occurred: February 19, 2026 at 4:00:00 PM Harassment by Telephone",001740,,
2026-00000082,"February 20, 2026 at 6:07:19 PM","February 20, 2026 at 6:07:00 PM",222 HURON ST (Lot A),Suspicious Persons,Closed,"End occurred: February 20, 2026 at 6:25:00 PM",001740,,
2026-00000084,"February 22, 2026 at 9:46:30 AM","February 22, 2026 at 9:44:00 AM",222 HURON ST (Lot A),Theft - Labor or Services,Open,"End occurred: February 22, 2026 at 9:46:00 AM Theft of Labor or Services or Use of Property",001740,,
2026-00000085,"February 23, 2026 at 1:25:14 PM","February 23, 2026 at 6:38:00 AM",222 HURON ST (Lot A),Hit and Run,Closed,"End occurred: February 23, 2026 at 1:17:00 PM Leaving Scene-Accident-Vehicle Damage",001740,,
2026-00000086,"February 23, 2026 at 7:16:34 PM","February 23, 2026 at 7:16:00 PM",710 LAKE SHORE DR (Abbott Hall),Unsecured Building/Office,Closed,"End occurred: February 23, 2026 at 7:30:00 PM",001740,,
2026-00000087,"February 24, 2026 at 11:10:11 AM","February 24, 2026 at 8:00:00 AM",222 HURON ST (Lot A),Traffic Crash - Vehicle Only,Closed,"End occurred: February 24, 2026 at 8:05:00 AM",001740,,
2026-00000089,"February 24, 2026 at 11:46:02 AM","February 24, 2026 at 11:25:00 AM",222 HURON ST (Lot A),Theft - Labor or Services,Closed,"End occurred: February 24, 2026 at 11:35:00 AM Theft of Labor or Services or Use of Property",001740,,
