school_code,case_number,report_datetime,occurred_datetime,location,latitude,longitude,description,disposition,narrative
2325,260013662,,2026-02-01T19:44:00.000000Z,1500 E MEDICAL CENTER DR,42.2827172,-83.7267932,DRUG VIOLATION - VCSA,Assistance Provided,Marijuana was found in a patient ' s property.
2325,260013660,,2026-02-01T19:37:00.000000Z,1239 KIPKE DR,42.265239,-83.7439554,HARASSMENT,Assistance Provided,A student reported being harassed. No further details were reported. Officers continue to investigate.
2325,260013600,,2026-02-01T15:57:00.000000Z,432 S STATE ST,43.6937859,-85.4842443,CRIMINAL SEXUAL CONDUCT,"Information Only, Assistance Provided",A student reported being sexually assaulted (raped) by another student.
2325,260013554,,2026-02-01T13:16:00.000000Z,606 E HOOVER AVE,42.2694673,-83.7422564,LARCENY,Assistance Provided,A student reported personal property stolen. The incident occurred between 10:40am and 11:50am on 2/1/2026.
2325,260013348,,2026-02-01T00:48:00.000000Z,1620 E MEDICAL CENTER DR,42.2853465,-83.7310464,TRESPASS,Assistance Provided,A nonaffiliated person was found in the building. They were escorted from the property.
2325,260013345,,2026-02-01T00:40:00.000000Z,1500 E MEDICAL CENTER DR,42.2827172,-83.7267932,DRUG VIOLATION - VCSA,Assistance Provided,Marijuana was found in a patient ' s property.
2325,260013343,,2026-02-01T00:25:00.000000Z,1500 E MEDICAL CENTER DR,42.2827172,-83.7267932,LARCENY,Assistance Provided,An employee reported witnessing someone steal university property. Officers responded and were able to locate the nonaffiliated person. They were escorted from the property.
2325,260014156,,2026-02-02T23:03:00.000000Z,1500 E MEDICAL CENTER DR,42.2827172,-83.7267932,DRUG VIOLATION - VCSA,Assistance Provided,Marijuana was found in a patient ' s property.
2325,260014036,,2026-02-02T17:24:00.000000Z,930 N UNIVERSITY AVE,42.2780097,-83.7365709,LARCENY,Assistance Provided,An employee reported personal property stolen. The incident occurred between 6:30pm on 1/31/2026 and 9:30am on 2/1/2026.
2325,260013991,,2026-02-02T15:19:00.000000Z,540 THOMPSON ST,42.2747975,-83.7437152,LARCENY,"Cancel Report, Unfounded","An employee reported university property stolen. A short time later, the property was located. No larceny occurred."
2325,260013984,,2026-02-02T14:53:00.000000Z,1500 E MEDICAL CENTER DR,42.2827172,-83.7267932,DRUG VIOLATION - VCSA,Assistance Provided,Marijuana was found in a patient ' s property.
2325,260013954,,2026-02-02T13:37:00.000000Z,1239 KIPKE DR,42.265239,-83.7439554,HARASSMENT,"Information Only, Assistance Provided","An employee reported that there is someone possibly posing as a student, harassing others online, and using inappropriate epithets."
2325,260013951,,2026-02-02T13:23:00.000000Z,1239 KIPKE DR,42.265239,-83.7439554,FRAUDULENT ACTIVITY,Assistance Provided,A student reported fraudulent activity involving threats online.
2325,260013921,,2026-02-02T12:20:00.000000Z,1655 DEAN RD,42.2967869,-83.6977863,BURGLARY OF ALL TYPES - IP,Assistance Provided,An employee reported university property stolen (burglary). The incident occurred between 9/27/2025 and 2/2/2026.
2325,260013915,,2026-02-02T12:06:00.000000Z,1239 KIPKE DR,42.265239,-83.7439554,FRAUDULENT ACTIVITY,Assistance Provided,"A guest reported fraudulent activity involving charges on their credit card. Upon investigation, it was found that the incident occurred off campus, and the guest will follow up with the local police department."
2325,260013904,,2026-02-02T11:19:00.000000Z,1239 KIPKE DR,42.265239,-83.7439554,FRAUDULENT ACTIVITY,Assistance Provided,A student reported fraudulent activity involving purchasing tickets online for a sports event.
2325,260013901,,2026-02-02T11:15:00.000000Z,1500 E MEDICAL CENTER DR,42.2827172,-83.7267932,ASSAULT OR BATTERY,Assistance Provided,An employee reported being assaulted by a patient. No injuries were reported.
2325,260013807,,2026-02-02T07:50:00.000000Z,1600 E MEDICAL CENTER DR,42.2853439,-83.7310242,CRASH - FAIL TO RP,Assistance Provided,"An employee reported that someone hit their vehicle, causing damage, and did not report it. The incident occurred between 11pm on 2/1/2026 and 7:36am on 2/2/2026."
2325,260013747,,2026-02-02T03:48:00.000000Z,1500 E MEDICAL CENTER DR,42.2827172,-83.7267932,ASSAULT OR BATTERY,Assistance Provided,An employee reported being assaulted by a patient. No injuries were reported.
