Number,Reported_Date_Time,Occurred_From_Date_Time,Location,Description,Disposition,Narrative,School_Code,latitude,longitude
2026PU00263,2/26/26 12:08 PM,2/25/26 3:00 PM,Pao Hall,Theft,Nothing Further,,003137,,
2026PU00264,2/26/26 2:46 PM,2/24/26 8:00 PM,CoRec,Theft,Under Investigation,,003137,,
2026PU00265,2/26/26 3:20 PM,2/25/26 5:28 PM,Phi Gamma Delta,Fraud,Under Investigation,,003137,,
2026PU00266,2/26/26 4:06 PM,2/24/26 2:37 PM,Earhart Hall,Theft,Under Investigation,,003137,,
2026PU00268,2/26/26 7:27 PM,2/26/26 4:50 PM,CoRec,Theft,Unfounded,,003137,,
2026PU00260,2/25/26 4:42 PM,2/25/26 4:40 PM,Aspire Apts,Battery,Referred for Internal Disciplinary Review,,003137,,
CAD# 2026-027772,2/21/26 1:31 AM,2/21/26 1:31 AM,N Grant St/North St,Drug Law Violation,Documented in 2026WL00390,,003137,,
CAD# 2026-028256,2/21/26 8:55 PM,2/21/26 8:55 PM,S River Rd/Bowen Dr,Operating While Intoxicated,Documented in 2026WL00394,,003137,,
CSA,2/25/26 2:45 PM,2/25/26 10:30 AM,On-Campus Grounds,Stalking,Nothing Further,,003137,,
CSA,2/25/26 4:22 PM,2/25/26 11:10 AM,Hillenbrand Hall,Theft,Nothing Further,,003137,,
2026PU00245,2/24/26 1:13 PM,2/22/26 3:00 AM,Tarkington Hall,Criminal Mischief,Under Investigation,,003137,,
2026PU00246,2/24/26 1:15 PM,12/19/25 5:00 PM,Wilmeth Active Learning Center,Theft-Bike,Under Investigation,,003137,,
2026PU00247,2/24/26 1:27 PM,2/24/26 1:12 PM,Hilltop Apts,Hit & Run,Unfounded,,003137,,
2026PU00248,2/24/26 5:37 PM,2/23/26 6:00 PM,Hilltop Apts,Fraud,Under Investigation,,003137,,
2026PU00251,2/25/26 1:37 AM,2/25/26 12:53 AM,Sheetz St/ Mitch Daniels Blvd,Drug Law Violation,Arrest Made,,003137,,
2026PU00253,2/25/26 5:21 AM,2/25/26 5:00 AM,Owen Hall,Criminal Mischief,Under Investigation,,003137,,
CAD# 2026-029277,2/23/26 9:27 PM,2/23/26 9:27 PM,Hilltop Apts,Drug Law Violation,Nothing Further,,003137,,
CAD# 2026-029471,2/24/26 9:22 AM,2/24/26 9:22 AM,University St Parking Garage,Reckless Driver,Nothing Further,,003137,,
CSA,2/24/26 11:38 PM,2/24/26 8:20 PM,Unknown Campus Parking Garage,Stalking,Nothing Further,,003137,,
